"Pre_pri_sch_expectancy","Pri_sch_expectancy","Sec_sch_expectancy","Pri_sec_sch_expectancy","Lower_sec_completion","Upper_sec_completion","Gov_ex","Gov_ex_percent_GDP","Literacy_rate","Population","Pre_pri_enrolment_num","Pre_pri_enrolment_ratio","Pri_enrolment_num","Pri_enrolment_ratio","Pri_completion","Sec_enrolment_num","Sec_enrolment_ratio","Ter_enrolment_num","STEM_ter_grad_percent","Illiterate_pop","Pre_pri_pupil_teacher_ratio","Gov_ex_capita","Gov_ex_3","Log_gov_ex_3","PISA_math_new","PISA_sci_new","PISA_read_new","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1"
2.58669,5.21745,6.75847,11.97592,NA,NA,417.38178,11.3177,NA,2880703,82494,86.41825,188371,105.54298,NA,315079,97.38848,162659,18.14513,NA,NA,144.888862197873,NA,NA,413.157,427.225,405.2588,11861200797,3.314804753,4124.055726,3.480117005
2.6344,5.22254,6.63319,11.85574,NA,NA,496.95618,13.59696,NA,2876101,82623,87.68227,179564,105.55386,NA,294315,95.715,148597,17.72032,NA,NA,172.788153128141,142.664899768298,4.96049852203535,421.178663733333,423.7254192,405.315655433333,13019693451,3.802197488,4531.020806,3.897710666
2.53125,5.30738,6.60356,11.91094,93.65541,80.31211,470.23552,12.3908,NA,2873457,81194,83.82008,174836,107.0466,94.95685,280378,95.26589,141850,19.35248,NA,NA,163.648010045043,NA,NA,429.200327466667,420.2258384,405.372510866667,15147020535,4.071301295,5284.380184,4.328395578
2.43767,5.31598,6.60337,11.91935,NA,NA,NA,NA,98.14115,2866376,81026,80.49873,170861,106.99342,NA,268872,95.43233,131833,20.62859,44114,19.9179,NA,144.888862197873,4.97596698093323,437.2219912,416.7262576,405.4293663,15286612573,2.173692288,5355.847795,2.609888198
2.29568,5.23087,6.59322,11.82409,NA,NA,NA,NA,NA,2867000,78942,75.75499,167104,104.81274,NA,256072,95.08659,139043,18.82147,NA,NA,NA,172.788153128141,5.15206629573351,418.705516766667,412.097043288667,405.385788303788,14799615097,-3.311239444,5215.276752,-2.750816342
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.648010045043,5.09771784105073,418.705516766667,397.639310298485,405.385788303788,NA,NA,NA,NA
NA,5.73622,1.51552,7.25174,NA,NA,NA,NA,NA,17582904,NA,NA,2785264,94.10461,NA,612229,21.65029,NA,NA,NA,NA,NA,NA,NA,362.306513833333,423.516472703704,379.664629871528,26364491313,9.214835701,1456.419396,6.081383703
NA,5.80267,1.78401,7.58668,NA,NA,NA,NA,NA,18102266,NA,NA,2894084,95.1513,NA,741961,25.48592,NA,NA,NA,NA,NA,NA,NA,362.306513833333,423.516472703704,379.664629871528,33243422158,7.47782655,1782.69932,4.333599726
NA,5.78618,1.97109,7.75727,NA,NA,4210.24313,NA,NA,18647815,NA,NA,2972242,94.87488,NA,844291,28.15845,NA,NA,NA,NA,225.776753469508,NA,NA,362.306513833333,423.516472703704,379.664629871528,42346380831,0.790606973,2203.055461,-2.218472323
NA,5.77366,2.11629,7.88996,NA,NA,3898.11714,NA,NA,19221665,NA,NA,3061252,94.76815,NA,933335,30.23278,NA,NA,NA,NA,202.798099956481,NA,NA,362.306513833333,423.516472703704,379.664629871528,44348672668,2.999996087,2237.086776,-0.131096614
